log10(Mass)+10    log10(VelDisp)   number_of_galaxy
10.825035 2.110890 45.000000
10.815527 2.167484 47.000000
10.809265 2.086112 50.000000
10.827270 2.215869 43.000000
10.780199 2.195091 42.000000
10.814181 2.111963 50.000000
10.837128 2.187252 50.000000
10.810146 2.144588 48.000000
10.853825 2.150259 47.000000
10.832408 2.181427 41.000000
10.796720 2.144807 53.000000
10.815776 2.223204 45.000000
10.826351 2.169658 48.000000
10.764817 2.261482 52.000000
10.822206 2.232031 49.000000
10.764699 2.203119 51.000000
10.868757 2.095027 43.000000
10.813603 2.177853 47.000000
10.770445 2.143608 52.000000
10.735576 2.239310 46.000000
10.797758 2.105525 54.000000
10.702272 2.147397 46.000000
10.781745 2.194432 54.000000
10.745004 2.142713 46.000000
10.814757 2.170939 50.000000
10.836553 2.189361 51.000000
10.787058 2.140755 50.000000
10.823680 2.143215 47.000000
10.780676 2.202138 50.000000
10.841645 2.138985 44.000000
10.824775 2.140723 45.000000
10.819942 2.229447 49.000000
10.823173 2.210079 46.000000
10.813491 2.074242 47.000000
10.730747 2.167903 58.000000
10.733866 2.188098 48.000000
10.776881 2.202147 49.000000
10.742073 2.228103 45.000000
10.791353 2.161996 44.000000
10.825884 2.170557 49.000000
10.729522 2.134416 44.000000
10.792626 2.136142 46.000000
10.316821 2.209638 51.000000
10.809751 2.188043 46.000000
10.781518 2.187849 52.000000
10.787108 2.170937 47.000000
10.757158 2.140571 50.000000
10.805402 2.112339 48.000000
10.779777 2.151168 47.000000
10.803177 2.171139 49.000000
10.788591 2.166705 49.000000
10.776643 2.225832 44.000000
10.788502 2.204467 46.000000
10.622921 2.146679 36.000000
10.762133 2.124467 49.000000
10.784734 2.127492 56.000000
10.820640 2.204046 44.000000
10.790351 2.170970 57.000000
10.733605 2.193268 47.000000
10.792465 2.134974 49.000000
10.788717 2.163211 48.000000
10.765106 2.213780 46.000000
10.788481 2.173819 46.000000
10.788207 2.171139 42.000000
10.777565 2.189646 50.000000
10.785186 2.160659 46.000000
10.791941 2.130840 51.000000
10.808317 2.169045 49.000000
10.786542 2.164290 50.000000
10.771067 2.203095 49.000000
10.750357 2.151445 43.000000
10.742251 2.199245 53.000000
10.780284 2.224587 44.000000
10.767083 2.183753 42.000000
10.738389 2.149613 44.000000
10.780549 2.142290 52.000000
10.741426 2.088896 43.000000
10.777856 2.140005 50.000000
10.766334 2.228589 49.000000
10.743228 2.235005 50.000000
10.556510 2.185927 42.000000
10.773962 2.145729 48.000000
10.797916 2.190426 54.000000
10.752483 2.167382 47.000000
10.778929 2.148158 47.000000
10.735624 2.144283 46.000000
10.778513 2.123982 47.000000
10.754158 2.138817 48.000000
10.735498 2.180513 48.000000
10.662518 2.158314 49.000000
10.785863 2.230694 43.000000
10.742519 2.136887 50.000000
10.764300 2.215978 49.000000
10.791840 2.158316 43.000000
10.742277 2.118823 46.000000
10.785190 2.186295 51.000000
10.776858 2.200255 53.000000
10.237800 2.173312 49.000000
10.765558 2.184268 41.000000
10.728885 2.199628 46.000000
10.740755 2.214319 45.000000
10.766750 2.172844 48.000000
10.740689 2.195382 43.000000
10.749232 2.254846 51.000000
10.472090 2.196675 48.000000
10.736343 2.205767 45.000000
10.722487 2.170048 43.000000
10.760656 2.165641 47.000000
10.760103 2.194575 48.000000
10.709530 2.202464 42.000000
10.753357 2.124359 46.000000
10.731979 2.185899 48.000000
10.746528 2.147465 49.000000
10.656904 2.192816 53.000000
10.731726 2.171135 45.000000
10.683213 2.178844 40.000000
10.740158 2.211203 48.000000
10.737009 2.108499 46.000000
10.704847 2.180180 47.000000
10.719394 2.127294 50.000000
10.733589 2.206251 41.000000
10.701329 2.159433 42.000000
10.747761 2.203594 48.000000
10.705627 2.124584 48.000000
10.723420 2.210054 46.000000
10.730311 2.217367 45.000000
10.708762 2.185613 48.000000
10.730059 2.138823 48.000000
10.734003 2.170698 52.000000
10.714461 2.173879 45.000000
10.672849 2.176176 44.000000
10.618376 2.169335 48.000000
10.700101 2.115956 44.000000
10.648679 2.173607 44.000000
10.711181 2.126303 52.000000
10.670745 2.140927 47.000000
10.742586 2.203174 45.000000
10.740043 2.210387 49.000000
10.722730 2.150444 46.000000
10.750654 2.212085 51.000000
10.661500 2.162760 45.000000
10.737565 2.226318 51.000000
10.679369 2.150433 47.000000
10.628840 2.100190 45.000000
10.711386 2.137303 51.000000
10.742409 2.225099 45.000000
10.703033 2.190820 43.000000
10.557227 2.122942 45.000000
10.679111 2.210745 39.000000
10.718782 2.248182 38.000000
10.696584 2.186755 44.000000
10.665736 2.143593 48.000000
10.746202 2.114934 47.000000
10.547370 2.149339 47.000000
10.731121 2.195072 46.000000
10.197133 2.116388 45.000000
10.721781 2.174519 49.000000
10.701129 2.208895 46.000000
10.082634 2.200512 45.000000
10.724014 2.131368 46.000000
10.706630 2.120233 37.000000
10.632598 2.229387 48.000000
10.711968 2.149845 42.000000
10.713755 2.177929 45.000000
10.623199 2.184825 44.000000
10.698347 2.126492 43.000000
10.708470 2.155330 48.000000
10.697431 2.111851 51.000000
10.719150 2.167260 46.000000
10.669338 2.119003 47.000000
10.727117 2.177424 44.000000
10.391804 2.181658 51.000000
10.693736 2.152801 40.000000
10.638054 2.158615 40.000000
10.643834 2.084282 47.000000
10.673980 2.170274 47.000000
10.680157 2.121350 50.000000
10.614328 2.147977 46.000000
10.702979 2.125293 41.000000
10.707889 2.199603 50.000000
10.495444 2.159626 44.000000
10.686716 2.131109 44.000000
10.697409 2.174901 48.000000
10.659921 2.174232 47.000000
10.632271 2.171753 49.000000
10.657680 2.183405 43.000000
10.362704 2.173393 48.000000
10.695617 2.169775 42.000000
10.676287 2.128390 41.000000
10.546854 2.170135 41.000000
10.666843 2.197545 40.000000
10.689861 2.161227 42.000000
10.707077 2.166612 47.000000
10.664286 2.230409 53.000000
10.680484 2.186822 54.000000
10.713701 2.208529 46.000000
10.704022 2.163956 49.000000
10.684521 2.139854 47.000000
10.703583 2.168737 46.000000
10.616972 2.202244 44.000000
10.591760 2.244565 39.000000
10.577621 2.161024 42.000000
10.304217 2.194172 47.000000
10.715642 2.073467 42.000000
10.679821 2.145346 41.000000
10.540951 2.172839 45.000000
10.690049 2.176639 39.000000
10.631993 2.137301 44.000000
10.424717 2.166447 42.000000
10.639280 2.175667 41.000000
10.703708 2.232637 45.000000
10.706612 2.150530 45.000000
10.666248 2.140499 52.000000
10.705382 2.162921 47.000000
10.624420 2.210677 38.000000
10.574468 2.105003 36.000000
10.666123 2.107133 48.000000
10.675715 2.144527 41.000000
10.587315 2.143029 42.000000
10.700590 2.222536 44.000000
10.673423 2.179640 46.000000
10.643237 2.093636 36.000000
10.605954 2.132215 48.000000
10.671575 2.081759 45.000000
10.651030 2.208838 44.000000
10.597036 2.132204 44.000000
10.674388 2.213353 39.000000
10.679320 2.175358 41.000000
10.620281 2.230517 35.000000
10.673218 2.200787 43.000000
10.664384 2.122657 40.000000
10.662533 2.121974 39.000000
10.692508 2.176450 47.000000
10.605454 2.196209 40.000000
10.676054 2.160812 41.000000
10.645725 2.190166 37.000000
10.574287 2.132051 40.000000
10.626100 2.151561 42.000000
10.674756 2.152818 46.000000
10.651259 2.182221 42.000000
10.328465 2.143897 44.000000
10.693626 2.227030 43.000000
10.675391 2.253250 36.000000
10.637841 2.112793 42.000000
