log10(Mass)+10    log10(VelDisp_subhalos)
10.627824 -inf
10.662051 -inf
10.624139 1.700574
10.600238 -inf
10.638657 -inf
10.585887 -inf
10.652848 -inf
10.411850 1.749129
10.562764 1.585442
10.585534 -inf
10.637617 -inf
10.639085 -inf
10.363806 -inf
10.606121 -inf
10.568144 -inf
10.637834 -inf
10.485965 1.633387
10.612511 1.772340
10.485952 1.635499
10.637441 -inf
10.586092 1.673916
10.628498 -inf
10.634243 -inf
10.602169 -inf
10.612794 -inf
10.607118 -inf
10.561030 -inf
10.592137 -inf
10.620530 -inf
10.629951 -inf
10.586336 -inf
10.629019 1.409577
10.193034 1.486359
10.606714 1.725727
10.573024 1.478556
10.653647 -inf
10.615146 1.410264
10.590741 -inf
10.619314 -inf
10.606925 1.568394
10.601641 -inf
10.535601 1.742547
10.587254 1.644712
10.596496 -inf
10.613490 -inf
10.601577 1.683569
10.487690 1.539587
10.562439 1.541097
10.583295 1.563385
10.594615 1.652652
10.554003 1.390590
10.575456 -inf
10.542987 -inf
10.368316 -inf
10.483335 2.048958
10.529655 1.577241
10.608410 -inf
10.376044 -inf
10.556548 1.438377
10.485179 1.814242
10.571667 -inf
10.577154 1.672378
10.649958 -inf
10.592089 -inf
10.621386 1.773827
10.618330 -inf
10.566173 1.672630
10.622870 -inf
10.600265 -inf
10.572872 1.588586
10.585169 -inf
10.596722 -inf
10.579548 1.625915
10.597872 -inf
10.569176 -inf
10.597282 -inf
10.600240 1.704234
10.580273 1.771439
10.566801 -inf
10.588802 1.814771
10.599208 -inf
10.553938 -inf
10.534227 1.566115
10.581429 -inf
10.413856 1.606224
10.574495 1.835494
10.603613 -inf
10.537195 1.627855
10.303411 2.485552
10.540449 -inf
10.559406 2.018911
10.590510 1.799499
10.566163 1.653579
10.600213 -inf
10.499655 1.691406
10.426453 1.690209
10.608082 -inf
10.569385 -inf
10.600448 1.757040
10.596993 -inf
10.578598 -inf
10.531367 1.614310
10.606978 -inf
10.587525 -inf
10.388515 2.112613
10.476393 -inf
10.497168 -inf
10.580582 1.751065
10.595850 -inf
10.589472 -inf
10.508490 -inf
10.580671 -inf
