log10(Mass)+10    log10(VelDisp_particles)
10.894934 1.844952
10.897949 1.816750
10.868897 1.828998
10.873042 1.801184
10.919460 1.846268
10.932001 1.883702
10.826797 1.806350
10.942257 1.895821
10.910282 1.902155
10.895519 1.867419
10.886678 1.821922
10.862671 1.800841
10.866237 1.900395
10.894874 1.845206
10.951464 2.039420
10.886436 1.841002
10.900337 1.835251
10.622149 1.741788
10.805015 1.814869
10.902623 1.849724
10.842936 1.800411
10.897746 1.859085
10.859688 2.025190
10.894066 2.017469
10.857719 1.831309
10.862230 1.818816
10.922799 1.856965
10.913573 1.852953
10.914442 1.869098
10.908923 1.868544
10.860076 1.829689
10.902218 1.852330
10.866165 1.832743
10.876376 1.828871
10.855939 1.839003
10.905271 1.867596
10.881045 1.847474
10.885447 1.880417
10.899742 1.866415
10.845323 1.831980
10.903226 1.858863
10.887102 1.839503
10.891701 1.855309
10.735665 1.791853
10.724211 1.792467
10.854151 1.830637
10.137877 1.842568
10.862528 1.855438
10.685591 1.778122
10.863113 1.828395
10.274818 2.316963
10.796285 1.805449
10.895620 1.879355
10.863591 1.888494
10.748307 1.796084
10.826484 1.837572
10.890212 1.856446
10.875370 1.854061
10.842990 1.802733
10.802877 1.789365
10.857975 1.834662
10.838188 1.818160
10.873312 1.831396
10.819735 1.787863
10.863857 1.828803
10.868862 1.870620
10.819669 1.829986
10.854342 1.832968
10.867571 1.841069
10.846914 1.819693
10.777540 1.780689
10.821728 1.808385
10.876201 1.851157
10.796077 1.774008
10.816153 1.809749
10.849630 1.830016
10.795175 1.807123
10.845865 1.837399
10.860799 1.875356
10.845488 1.835662
10.809466 1.866133
10.847571 1.819182
10.857872 1.836894
10.813337 1.790595
10.870302 1.853716
10.600671 2.190631
10.866935 1.874989
10.843127 1.860315
10.857977 1.848971
10.770828 1.804941
10.885573 1.952631
10.560082 1.747204
10.837497 1.846276
10.868027 1.865301
10.672610 1.788446
10.844257 1.861149
10.831099 1.818373
10.632648 1.862292
10.828966 1.815818
10.843617 1.836191
10.836510 1.839388
10.707750 1.779298
10.839446 1.866215
10.813990 1.828331
10.574591 1.745226
10.825035 1.921314
10.815527 2.185495
10.809265 1.984532
10.827270 1.823649
10.780199 1.784260
10.814181 1.816069
10.837128 1.826833
10.810146 1.809489
10.853825 1.850014
10.832408 1.973649
10.796720 1.891758
10.815776 1.819038
10.826351 1.828628
10.764817 1.791596
10.822206 1.808831
10.764699 1.813772
10.868757 1.911973
10.813603 1.791127
10.770445 1.779334
10.735576 1.807376
10.797758 1.816103
10.702272 1.781871
10.781745 1.823396
10.745004 1.812414
10.814757 1.801206
10.836553 1.829920
10.787058 1.801371
10.823680 1.892697
10.780676 1.802599
10.841645 1.853099
10.824775 1.826540
10.819942 1.833205
10.823173 1.920562
10.813491 1.815883
10.730747 2.142768
10.733866 1.757176
10.776881 1.859356
10.742073 1.819452
10.791353 1.802798
10.825884 1.844912
10.729522 1.773016
10.792626 1.809804
