No. Number M200 sigma200 R200 Sigma M_sigma Sigma_LoS
242.0 1.0 123.4591 123.3424 0.1745 0.0 0.0 0.0
243.0 1.0 139.7609 128.5523 0.1818 0.0 0.0 0.0
244.0 1.0 58.9039 96.382 0.1363 0.0 0.0 0.0
245.0 1.0 139.1089 128.348 0.1816 0.0 0.0 0.0
246.0 1.0 145.5209 130.291 0.1843 0.0 0.0 0.0
247.0 1.0 124.0025 123.5241 0.1747 0.0 0.0 0.0
248.0 1.0 148.9986 131.3195 0.1858 0.0 0.0 0.0
249.0 2.0 135.7398 127.3052 0.1801 78.1097 51.1006 39.2498
250.0 1.0 132.2621 126.2078 0.1785 0.0 0.0 0.0
251.0 1.0 128.3497 124.9525 0.1767 0.0 0.0 0.0
252.0 2.0 132.4794 126.2776 0.1786 142.1908 167.9729 68.8526
253.0 1.0 82.5959 107.8768 0.1526 0.0 0.0 0.0
254.0 2.0 121.8289 122.7997 0.1737 74.3912 44.7093 54.9678
255.0 1.0 124.8719 123.8124 0.1751 0.0 0.0 0.0
256.0 1.0 130.9579 125.7952 0.1779 0.0 0.0 0.0
257.0 1.0 128.3497 124.9538 0.1767 0.0 0.0 0.0
258.0 2.0 96.2894 113.537 0.1606 59.9009 26.8022 19.235
259.0 1.0 140.3043 128.7161 0.1821 0.0 0.0 0.0
260.0 1.0 122.481 123.0197 0.174 0.0 0.0 0.0
261.0 1.0 118.8946 121.8025 0.1723 0.0 0.0 0.0
262.0 2.0 119.3293 121.9526 0.1725 123.2786 121.9384 54.5793
263.0 1.0 41.8413 85.9972 0.1216 0.0 0.0 0.0
264.0 3.0 102.3754 115.8792 0.1639 119.0272 108.0133 33.1628
265.0 2.0 112.1565 119.4582 0.169 98.0799 75.6054 44.1351
266.0 1.0 69.5544 101.871 0.1441 0.0 0.0 0.0
267.0 1.0 80.857 107.1161 0.1515 0.0 0.0 0.0
268.0 1.0 134.5443 126.9302 0.1795 0.0 0.0 0.0
269.0 2.0 100.8539 115.3039 0.1631 62.5672 29.696 29.7265
270.0 2.0 115.9603 120.7939 0.1709 40.3127 12.9152 24.2541
271.0 1.0 62.0556 98.0704 0.1387 0.0 0.0 0.0
272.0 1.0 130.0885 125.5118 0.1775 0.0 0.0 0.0
273.0 1.0 65.0986 99.6476 0.141 0.0 0.0 0.0
274.0 1.0 116.0689 120.8332 0.1709 0.0 0.0 0.0
275.0 1.0 108.2441 118.0541 0.167 0.0 0.0 0.0
276.0 3.0 102.8101 116.0447 0.1641 124.2649 117.8913 88.8802
277.0 1.0 99.0064 114.5943 0.1621 0.0 0.0 0.0
278.0 1.0 126.8281 124.4575 0.176 0.0 0.0 0.0
279.0 1.0 114.3301 120.2235 0.1701 0.0 0.0 0.0
