No. Number M200 sigma200 R200 Sigma M_sigma Sigma_LoS
284.0 1.0 100.53 115.18 0.1629 0.0 0.0 0.0
285.0 2.0 129.55 125.34 0.1773 71.58 42.26 64.08
286.0 0.0 109.66 118.57 0.1677 nan nan nan
287.0 1.0 80.53 106.97 0.1513 0.0 0.0 0.0
288.0 0.0 113.24 119.84 0.1695 nan nan nan
289.0 0.0 116.94 121.13 0.1713 nan nan nan
290.0 1.0 109.77 118.61 0.1678 0.0 0.0 0.0
291.0 0.0 46.95 89.36 0.1264 nan nan nan
292.0 0.0 92.49 112.02 0.1585 nan nan nan
293.0 0.0 112.37 119.54 0.1691 nan nan nan
294.0 2.0 90.64 111.27 0.1574 110.0 88.58 99.48
295.0 0.0 114.44 120.27 0.1701 nan nan nan
296.0 2.0 102.7 116.0 0.1641 97.02 71.84 25.87
297.0 0.0 115.85 120.76 0.1708 nan nan nan
298.0 1.0 81.07 107.21 0.1516 0.0 0.0 0.0
299.0 0.0 113.46 119.92 0.1696 nan nan nan
300.0 0.0 102.92 116.08 0.1642 nan nan nan
301.0 1.0 104.44 116.65 0.165 0.0 0.0 0.0
302.0 0.0 107.16 117.66 0.1664 nan nan nan
303.0 1.0 104.11 116.53 0.1648 0.0 0.0 0.0
304.0 0.0 108.24 118.05 0.167 nan nan nan
305.0 1.0 97.16 113.88 0.1611 0.0 0.0 0.0
306.0 3.0 113.03 119.77 0.1694 94.98 71.09 51.74
307.0 1.0 104.11 116.53 0.1648 0.0 0.0 0.0
308.0 0.0 102.7 116.0 0.1641 nan nan nan
309.0 3.0 93.25 112.33 0.1589 127.06 119.3 57.91
310.0 0.0 77.38 105.56 0.1493 nan nan nan
311.0 0.0 104.01 116.49 0.1648 nan nan nan
312.0 2.0 67.6 100.91 0.1427 40.61 10.95 36.05
313.0 1.0 90.75 111.31 0.1575 0.0 0.0 0.0
314.0 1.0 96.83 113.75 0.1609 0.0 0.0 0.0
315.0 1.0 98.57 114.43 0.1619 0.0 0.0 0.0
316.0 1.0 105.09 116.9 0.1653 0.0 0.0 0.0
317.0 1.0 102.92 116.09 0.1642 0.0 0.0 0.0
318.0 2.0 105.2 116.94 0.1654 94.0 67.98 36.37
319.0 0.0 83.25 108.16 0.153 nan nan nan
320.0 1.0 81.07 107.21 0.1517 0.0 0.0 0.0
321.0 0.0 47.06 89.43 0.1265 nan nan nan
322.0 3.0 81.29 107.31 0.1518 80.6 45.86 52.11
323.0 0.0 76.62 105.21 0.1488 nan nan nan
324.0 0.0 99.01 114.59 0.1621 nan nan nan
325.0 0.0 78.47 106.05 0.15 nan nan nan
326.0 4.0 71.08 102.61 0.1451 154.98 162.14 45.73
327.0 1.0 75.86 104.86 0.1483 0.0 0.0 0.0
328.0 1.0 106.07 117.26 0.1659 0.0 0.0 0.0
329.0 1.0 95.31 113.15 0.16 0.0 0.0 0.0
330.0 1.0 103.14 116.17 0.1643 0.0 0.0 0.0
331.0 1.0 90.09 111.05 0.1571 0.0 0.0 0.0
332.0 0.0 104.55 116.69 0.1651 nan nan nan
333.0 0.0 60.43 97.2 0.1375 nan nan nan
334.0 0.0 88.14 110.24 0.1559 nan nan nan
335.0 2.0 79.23 106.39 0.1505 129.96 118.23 112.67
336.0 1.0 95.31 113.15 0.1601 0.0 0.0 0.0
337.0 2.0 96.94 113.79 0.161 83.31 51.96 41.32
338.0 0.0 91.4 111.58 0.1578 nan nan nan
339.0 0.0 97.16 113.87 0.1611 nan nan nan
340.0 0.0 83.79 108.4 0.1533 nan nan nan
341.0 0.0 77.92 105.8 0.1497 nan nan nan
342.0 1.0 85.2 109.0 0.1542 0.0 0.0 0.0
343.0 3.0 98.14 114.26 0.1616 131.18 129.35 100.87
344.0 0.0 94.55 112.85 0.1596 nan nan nan
345.0 4.0 101.18 115.43 0.1633 134.06 136.48 81.81
346.0 1.0 44.34 87.68 0.124 0.0 0.0 0.0
347.0 1.0 94.44 112.81 0.1596 0.0 0.0 0.0
348.0 0.0 58.14 95.96 0.1357 nan nan nan
349.0 1.0 88.03 110.19 0.1559 0.0 0.0 0.0
350.0 0.0 100.09 115.01 0.1627 nan nan nan
351.0 0.0 24.24 71.68 0.1014 nan nan nan
352.0 1.0 79.66 106.58 0.1508 0.0 0.0 0.0
353.0 0.0 80.97 107.16 0.1516 nan nan nan
354.0 0.0 84.66 108.77 0.1539 nan nan nan
355.0 0.0 41.08 85.47 0.1209 nan nan nan
356.0 1.0 89.77 110.91 0.1569 0.0 0.0 0.0
357.0 0.0 54.99 94.2 0.1332 nan nan nan
358.0 0.0 67.27 100.74 0.1425 nan nan nan
359.0 1.0 97.7 114.09 0.1614 0.0 0.0 0.0
360.0 0.0 89.66 110.87 0.1568 nan nan nan
361.0 1.0 87.27 109.87 0.1554 0.0 0.0 0.0
362.0 1.0 65.32 99.76 0.1411 0.0 0.0 0.0
363.0 0.0 52.06 92.49 0.1308 nan nan nan
364.0 1.0 82.6 107.88 0.1526 0.0 0.0 0.0
365.0 0.0 85.86 109.28 0.1546 nan nan nan
366.0 1.0 78.79 106.2 0.1502 0.0 0.0 0.0
367.0 1.0 94.88 112.98 0.1598 0.0 0.0 0.0
368.0 0.0 87.16 109.83 0.1554 nan nan nan
369.0 0.0 93.46 112.42 0.159 nan nan nan
370.0 0.0 87.92 110.15 0.1558 nan nan nan
371.0 0.0 89.99 111.01 0.157 nan nan nan
372.0 0.0 88.36 110.33 0.1561 nan nan nan
373.0 0.0 80.53 106.97 0.1513 nan nan nan
374.0 0.0 93.79 112.54 0.1592 nan nan nan
375.0 0.0 95.31 113.15 0.1601 nan nan nan
376.0 2.0 94.44 112.81 0.1596 36.8 10.05 16.46
377.0 0.0 78.25 105.95 0.1499 nan nan nan
378.0 0.0 59.99 96.97 0.1372 nan nan nan
379.0 0.0 90.53 111.22 0.1573 nan nan nan
380.0 0.0 87.16 109.83 0.1554 nan nan nan
381.0 0.0 80.2 106.82 0.1511 nan nan nan
382.0 0.0 84.99 108.91 0.1541 nan nan nan
383.0 1.0 84.88 108.86 0.154 0.0 0.0 0.0
384.0 0.0 38.58 83.7 0.1184 nan nan nan
385.0 3.0 75.75 104.81 0.1483 146.82 148.64 95.39
386.0 1.0 85.42 109.09 0.1543 0.0 0.0 0.0
387.0 1.0 79.77 106.63 0.1508 0.0 0.0 0.0
388.0 1.0 75.86 104.86 0.1483 0.0 0.0 0.0
389.0 0.0 83.68 108.35 0.1533 nan nan nan
390.0 0.0 55.75 94.63 0.1339 nan nan nan
391.0 1.0 73.9 103.95 0.147 0.0 0.0 0.0
392.0 0.0 84.77 108.82 0.1539 nan nan nan
393.0 1.0 70.42 102.29 0.1447 0.0 0.0 0.0
394.0 1.0 56.19 94.88 0.1342 0.0 0.0 0.0
395.0 0.0 78.25 105.95 0.1499 nan nan nan
396.0 1.0 77.49 105.61 0.1494 0.0 0.0 0.0
397.0 0.0 59.34 96.62 0.1367 nan nan nan
398.0 0.0 75.86 104.86 0.1483 nan nan nan
399.0 0.0 47.93 89.98 0.1273 nan nan nan
400.0 1.0 72.6 103.34 0.1462 0.0 0.0 0.0
401.0 2.0 93.57 112.46 0.1591 88.78 58.32 75.26
402.0 1.0 84.55 108.72 0.1538 0.0 0.0 0.0
403.0 0.0 72.05 103.08 0.1458 nan nan nan
404.0 0.0 78.47 106.05 0.15 nan nan nan
405.0 0.0 84.01 108.49 0.1535 nan nan nan
406.0 0.0 83.9 108.44 0.1534 nan nan nan
407.0 0.0 86.94 109.74 0.1552 nan nan nan
408.0 0.0 86.62 109.6 0.155 nan nan nan
409.0 0.0 78.57 106.1 0.1501 nan nan nan
410.0 1.0 76.51 105.16 0.1488 0.0 0.0 0.0
411.0 0.0 81.73 107.5 0.1521 nan nan nan
412.0 0.0 76.62 105.21 0.1488 nan nan nan
413.0 0.0 47.17 89.5 0.1266 nan nan nan
414.0 0.0 56.4 95.0 0.1344 nan nan nan
415.0 0.0 75.64 104.76 0.1482 nan nan nan
416.0 1.0 72.38 103.23 0.146 0.0 0.0 0.0
417.0 0.0 55.21 94.32 0.1334 nan nan nan
418.0 0.0 76.18 105.01 0.1485 nan nan nan
419.0 0.0 87.05 109.78 0.1553 nan nan nan
420.0 1.0 77.16 105.46 0.1492 0.0 0.0 0.0
421.0 0.0 71.73 102.92 0.1456 nan nan nan
422.0 0.0 67.27 100.74 0.1425 nan nan nan
423.0 1.0 66.62 100.42 0.142 0.0 0.0 0.0
424.0 0.0 66.29 100.26 0.1418 nan nan nan
425.0 2.0 68.14 101.18 0.1431 132.95 117.66 41.46
426.0 0.0 62.38 98.24 0.139 nan nan nan
427.0 0.0 83.68 108.35 0.1533 nan nan nan
428.0 0.0 64.45 99.31 0.1405 nan nan nan
429.0 1.0 78.68 106.15 0.1501 0.0 0.0 0.0
430.0 2.0 67.92 101.07 0.143 93.67 58.34 51.76
431.0 1.0 67.38 100.8 0.1426 0.0 0.0 0.0
432.0 0.0 51.95 92.43 0.1307 nan nan nan
433.0 0.0 63.03 98.58 0.1394 nan nan nan
434.0 1.0 62.93 98.53 0.1394 0.0 0.0 0.0
435.0 0.0 78.47 106.05 0.15 nan nan nan
436.0 0.0 69.34 101.77 0.1439 nan nan nan
437.0 0.0 72.38 103.23 0.146 nan nan nan
438.0 0.0 73.14 103.59 0.1465 nan nan nan
439.0 0.0 76.73 105.26 0.1489 nan nan nan
440.0 0.0 33.58 79.92 0.113 nan nan nan
