No. Number_particles M200 sigma200 R200 Sigma M_sigma Sigma_LoS Offset offset_log a_major b_inter c_minor major_dispersion intermediate_dispersion minor_dispersion
143.0 2207.0 239.8541 153.9095 0.2177 239.1807 579.2532 141.7565 0.00807 -2.0929 0.05706 0.04752 0.04046 149.38377 141.19414 122.29511
144.0 2329.0 253.1129 156.6923 0.2216 247.0654 629.278 138.2708 0.00779 -2.10831 0.05124 0.04806 0.04738 145.23372 145.1327 137.42259
145.0 2493.0 270.9362 160.285 0.2267 254.829 684.8236 145.184 0.00697 -2.157 0.0662 0.04378 0.03894 165.17441 140.12023 134.24438
146.0 1159.0 125.9587 124.1694 0.1756 198.9887 323.4861 106.0824 0.00493 -2.30711 0.04917 0.03438 0.0289 129.40615 109.77843 103.91936
147.0 1557.0 169.2129 137.0108 0.1938 213.6545 411.4791 127.3411 0.00717 -2.14419 0.04971 0.04618 0.04104 127.2519 128.62841 113.62198
148.0 2372.0 257.7861 157.6519 0.223 265.2249 729.6078 168.8269 0.04509 -1.34588 0.0689 0.04375 0.03697 123.26919 200.01219 123.06126
149.0 2476.0 269.0887 159.9226 0.2262 267.6516 753.73 151.5771 0.01927 -1.71507 0.05868 0.04739 0.0375 165.10137 162.14557 134.49075
150.0 2229.0 242.245 154.4194 0.2184 250.0331 635.1063 134.9281 0.01734 -1.76095 0.06299 0.04378 0.0381 157.22353 141.81478 132.98837
151.0 2319.0 252.0261 156.4688 0.2213 248.6431 636.4185 137.0975 0.00501 -2.29974 0.05911 0.05008 0.04023 157.56399 136.40223 135.61487
152.0 1911.0 207.6852 146.6942 0.2075 214.7993 445.2922 125.5242 0.01771 -1.75185 0.06253 0.05048 0.04144 129.72629 129.02926 112.52234
153.0 1901.0 206.5984 146.4358 0.2071 246.8603 587.1311 131.6389 0.01452 -1.83795 0.06251 0.04864 0.03793 161.92335 134.86118 128.58195
154.0 1656.0 179.9721 139.8566 0.1978 219.3124 442.5534 115.292 0.00933 -2.03021 0.05402 0.042 0.03485 143.576 124.71684 109.22268
155.0 764.0 83.0306 108.0657 0.1529 167.6919 199.934 94.5055 0.00548 -2.26144 0.0604 0.0328 0.03173 104.58088 94.70055 90.63789
156.0 1622.0 176.277 138.8899 0.1965 225.144 463.207 132.1855 0.00244 -2.61174 0.04856 0.04078 0.03573 141.74086 128.51436 118.67362
157.0 2247.0 244.2012 154.8349 0.219 243.5748 604.331 133.6496 0.00467 -2.33042 0.05539 0.04636 0.04165 151.33459 137.91862 131.92785
158.0 1387.0 150.7375 131.831 0.1865 212.0426 389.9709 118.4888 0.01236 -1.908 0.05337 0.04317 0.02859 120.44672 135.67544 109.75802
159.0 1894.0 205.8376 146.2591 0.2069 243.4191 570.1489 143.8606 0.00262 -2.58194 0.0527 0.04537 0.0356 159.27483 139.01513 120.66152
