mass M200 vel_disp group_number subhalo_number zform alpha
898.3388671875 708.4769897460938 189.6597442626953 126.0 2324.0 0.840961413932354 670.9408356187298
949.5265502929688 784.76953125 193.37301635742188 127.0 2337.0 0.8230477300471701 150.975001882789
511.0076599121094 367.7690124511719 150.44387817382812 128.0 2343.0 0.8510512941051291 312.56033004489154
951.2654418945312 721.8445434570312 191.9735870361328 129.0 2351.0 0.6619170942497113 925.9224006806146
786.0736694335938 609.68798828125 180.58546447753906 130.0 2356.0 0.7235106645088627 337.4234456701663
526.5487060546875 405.915283203125 161.58987426757812 131.0 2361.0 1.2945162545588706 322.7298646657615
979.8479614257812 886.4928588867188 218.03416442871094 132.0 2366.0 1.7325867739157577 425.65636745368846
913.3365478515625 851.3896484375 225.9387969970703 133.0 2368.0 0.5018998695539872 1302.5743757632163
909.424072265625 737.8203125 188.2556915283203 134.0 2376.0 0.49115905696819817 881.647976538577
894.8611450195312 678.59033203125 188.17373657226562 135.0 2381.0 0.3280041033682974 1377.0955569472617
602.6239013671875 418.0873107910156 156.75997924804688 136.0 2387.0 0.18412056468897547 1197.8879740117504
887.4710083007812 673.6998291015625 188.39584350585938 137.0 2393.0 0.8896375392235117 476.70399857381085
877.6898803710938 675.656005859375 186.2802276611328 138.0 2399.0 0.5493261093780158 668.0197708005832
918.0097045898438 799.3324584960938 213.7338104248047 139.0 2408.0 1.2028546648267762 408.3242393620871
809.8743286132812 791.5076293945312 210.9525604248047 140.0 2409.0 0.7814648942923481 979.7240497040609
631.3150634765625 503.8348693847656 181.82763671875 141.0 2415.0 0.45029502420999096 709.7481320986395
836.718017578125 678.0469970703125 188.1477508544922 142.0 2421.0 0.8809735007638975 502.9618472987454
731.6256103515625 577.5191040039062 179.76980590820312 143.0 2431.0 0.917856511230447 369.02237671956493
609.9053344726562 399.50323486328125 161.82135009765625 144.0 2441.0 0.26791981273534604 1054.6063592797943
677.2861938476562 594.5816650390625 175.39694213867188 145.0 2450.0 0.5171614114578919 931.0504842187495
863.996337890625 723.909423828125 197.6077117919922 146.0 2454.0 0.32920550953155187 1372.481214409319
788.8992919921875 740.9719848632812 191.66293334960938 147.0 2458.0 0.7197580794149632 261.78019153253217
752.2745971679688 624.5770263671875 181.7167510986328 148.0 2462.0 0.6229170373512277 573.090568948686
764.0119018554688 657.5066528320312 186.33102416992188 149.0 2470.0 0.7541004702401513 323.82881251503443
844.216796875 689.6755981445312 196.73472595214844 150.0 2475.0 0.6495627407833697 535.2526181069065
555.1312255859375 384.2882080078125 154.79075622558594 151.0 2479.0 0.6221769171695862 495.8142671818043
810.9611206054688 595.5597534179688 184.38885498046875 152.0 2487.0 0.6746379900366948 780.9251913856524
805.4185180664062 717.280029296875 199.1950225830078 153.0 2495.0 0.8461760057812642 336.4142755584241
776.727294921875 579.1492919921875 177.33004760742188 154.0 2504.0 0.6983057010037924 165.57127592338475
396.460205078125 299.84478759765625 138.42051696777344 155.0 2511.0 0.6318180681234978 -28.39177702163492
355.2709655761719 283.1082458496094 128.69313049316406 156.0 2521.0 0.6867402674159856 250.62657579429754
635.8795776367188 414.93560791015625 155.70794677734375 157.0 2532.0 0.5084151521215369 699.597963996473
812.3739624023438 606.64501953125 185.67044067382812 158.0 2544.0 0.5902288684251303 263.7108213721956
639.683349609375 473.94818115234375 168.09906005859375 159.0 2552.0 0.5746372549520058 504.9888981405769
626.8592529296875 434.497802734375 162.1025390625 160.0 2560.0 0.2919963768454912 1067.9675161577597
693.261962890625 555.7833251953125 180.51431274414062 161.0 2570.0 1.40598043779796 664.7901092605073
679.6771240234375 598.0593872070312 180.11451721191406 162.0 2578.0 0.9271550671265487 465.55242062358275
709.7811889648438 773.684326171875 213.677490234375 163.0 2586.0 0.512532296881925 978.2871902616668
521.1148071289062 525.1359252929688 163.88473510742188 164.0 2589.0 0.8690945570074065 581.5919286375785
797.3762817382812 703.0430908203125 192.38375854492188 165.0 2594.0 1.1803881334422976 230.96408064581132
348.5328674316406 293.106689453125 139.37643432617188 166.0 2597.0 0.8594600699177126 213.42061422054866
586.97412109375 483.2945861816406 170.0395050048828 167.0 2604.0 0.4106229410350414 770.5442422686984
